"ordernumber","quantityordered","priceeach","sales","orderdate","productline","productcode","customername","totalrevenue"
10236,22,"100","2852.08","2004-04-03","Motorcycles","S10_2016","Motor Mint Distributors Inc.","2200"
10251,44,"100","5756.52","2004-05-18","Motorcycles","S10_2016","Tekni Collectables Inc.","4400"
10263,40,"100","4472","2004-06-28","Motorcycles","S10_2016","Gift Depot Inc.","4000"
10275,22,"100","2904.44","2004-07-23","Motorcycles","S10_2016","La Rochelle Gifts","2200"
10285,47,"100","6484.59","2004-08-27","Motorcycles","S10_2016","Marta'S Replicas Co.","4700"
10298,39,"96.34","3757.26","2004-09-27","Motorcycles","S10_2016","Atelier Graphique","3757.26"
10308,34,"100","4043.96","2004-10-15","Motorcycles","S10_2016","Mini Classics","3400"
10318,45,"100","5566.5","2004-11-02","Motorcycles","S10_2016","Diecast Classics Inc.","4500"
10329,20,"100","3176","2004-11-15","Motorcycles","S10_2016","Land Of Toys Inc.","2000"
10339,40,"68.92","2756.8","2004-11-23","Motorcycles","S10_2016","Tokyo Collectables, Ltd","2756.8"
10361,26,"51.15","1329.9","2004-12-17","Motorcycles","S10_2016","Souveniers And Things Co.","1329.8999999999999"
10210,34,"100","6123.4","2004-01-12","Motorcycles","S10_4698","Osaka Souveniers Co.","3400"
10223,49,"100","9774.03","2004-02-20","Motorcycles","S10_4698","Australian Collectors, Co.","4900"
10237,39,"100","7023.9","2004-04-05","Motorcycles","S10_4698","Vitachrome Inc.","3900"
10251,43,"100","7078.23","2004-05-18","Motorcycles","S10_4698","Tekni Collectables Inc.","4300"
10263,41,"100","8336.94","2004-06-28","Motorcycles","S10_4698","Gift Depot Inc.","4100"
10275,36,"100","6901.92","2004-07-23","Motorcycles","S10_4698","La Rochelle Gifts","3600"
10285,27,"100","5438.07","2004-08-27","Motorcycles","S10_4698","Marta'S Replicas Co.","2700"
10299,29,"100","6683.34","2004-09-30","Motorcycles","S10_4698","Toys Of Finland, Co.","2900"
10308,20,"100","4570.4","2004-10-15","Motorcycles","S10_4698","Mini Classics","2000"
10318,37,"100","7667.14","2004-11-02","Motorcycles","S10_4698","Diecast Classics Inc.","3700"
10329,26,"100","5868.2","2004-11-15","Motorcycles","S10_4698","Land Of Toys Inc.","2600"
10339,39,"76.67","2990.13","2004-11-23","Motorcycles","S10_4698","Tokyo Collectables, Ltd","2990.13"
10209,39,"100","5197.92","2004-01-09","Classic Cars","S10_4757","Men 'R' Us Retailers, Ltd.","3900"
10222,49,"100","5997.6","2004-02-19","Classic Cars","S10_4757","Collectable Mini Designs Co.","4900"
10248,20,"100","2910.4","2004-05-07","Classic Cars","S10_4757","Land Of Toys Inc.","2000"
10261,27,"100","3378.24","2004-06-17","Classic Cars","S10_4757","Quebec Home Shopping Network","2700"
10273,30,"100","3508.8","2004-07-21","Classic Cars","S10_4757","Petit Auto","3000"
10283,25,"100","2992","2004-08-20","Classic Cars","S10_4757","Royal Canadian Collectables, Ltd.","2500"
10295,24,"100","3427.2","2004-09-10","Classic Cars","S10_4757","Gifts4Allages.Com","2400"
10307,22,"100","2692.8","2004-10-14","Classic Cars","S10_4757","Classic Gift Ideas, Inc","2200"
10316,33,"100","4128.96","2004-11-01","Classic Cars","S10_4757","Giftsbymail.Co.Uk","3300"
10325,47,"64.93","3051.71","2004-11-05","Classic Cars","S10_4757","Baane Mini Imports","3051.7100000000005"
10337,25,"48.05","1201.25","2004-11-21","Classic Cars","S10_4757","Classic Legends Inc.","1201.25"
10350,26,"75.47","1962.22","2004-12-02","Classic Cars","S10_4757","Euro Shopping Channel","1962.22"
10359,48,"54.68","2624.64","2004-12-15","Classic Cars","S10_4757","Reims Collectables","2624.64"
10217,48,"100","7020.48","2004-02-04","Classic Cars","S10_4962","Handji Gifts& Co","4800"
10229,50,"100","6426.5","2004-03-11","Classic Cars","S10_4962","Mini Gifts Distributors Ltd.","5000"
10245,28,"100","4591.72","2004-05-04","Classic Cars","S10_4962","Super Scale Inc.","2800"
10259,26,"100","4033.38","2004-06-15","Classic Cars","S10_4962","Handji Gifts& Co","2600"
10270,32,"100","4302.08","2004-07-19","Classic Cars","S10_4962","Souveniers And Things Co.","3200"
10281,44,"100","7020.64","2004-08-19","Classic Cars","S10_4962","Diecast Classics Inc.","4400"
10291,30,"100","3855.9","2004-09-08","Classic Cars","S10_4962","Scandinavian Gift Ideas","3000"
10305,38,"100","6680.78","2004-10-13","Classic Cars","S10_4962","Marta'S Replicas Co.","3800"
10313,40,"100","6678","2004-10-22","Classic Cars","S10_4962","Canadian Gift Exchange Network","4000"
10322,46,"61.99","2851.54","2004-11-04","Classic Cars","S10_4962","Online Diecast Creations Co.","2851.54"
10334,26,"100","3188.12","2004-11-19","Classic Cars","S10_4962","Volvo Model Replicas, Co","2600"
10347,27,"100","4428","2004-11-29","Classic Cars","S10_4962","Australian Collectors, Co.","2700"
10357,43,"100","5780.92","2004-12-10","Classic Cars","S10_4962","Mini Gifts Distributors Ltd.","4300"
10211,41,"100","7498.9","2004-01-15","Classic Cars","S12_1099","Auto Canal Petit","4100"
10225,27,"100","4517.91","2004-02-22","Classic Cars","S12_1099","Vida Sport, Ltd","2700"
10238,28,"100","5774.72","2004-04-09","Classic Cars","S12_1099","Danish Wholesale Imports","2800"
10253,24,"100","3922.56","2004-06-01","Classic Cars","S12_1099","Uk Collectables, Ltd.","2400"
10266,44,"100","9160.36","2004-07-06","Classic Cars","S12_1099","L'Ordine Souveniers","4400"
10276,50,"100","9631","2004-08-02","Classic Cars","S12_1099","Online Mini Collectables","5000"
10287,21,"100","3432.24","2004-08-30","Classic Cars","S12_1099","Vida Sport, Ltd","2100"
10310,33,"100","6934.62","2004-10-16","Classic Cars","S12_1099","Toms Spezialitten, Ltd","3300"
10320,31,"100","6876.11","2004-11-03","Classic Cars","S12_1099","Volvo Model Replicas, Co","3100"
10329,41,"71.47","2930.27","2004-11-15","Classic Cars","S12_1099","Land Of Toys Inc.","2930.27"
10341,45,"79.65","3584.25","2004-11-24","Classic Cars","S12_1099","Salzburg Collectables","3584.2500000000005"
10208,46,"100","8602.92","2004-01-02","Classic Cars","S12_1108","Saveley & Henriot, Co.","4600"
10220,32,"100","7181.44","2004-02-12","Classic Cars","S12_1108","Clover Collections, Co.","3200"
10231,42,"100","8378.58","2004-03-19","Classic Cars","S12_1108","Caf Imports","4200"
10247,44,"100","10606.2","2004-05-05","Classic Cars","S12_1108","Suominen Souveniers","4400"
10272,35,"100","5818.4","2004-07-20","Classic Cars","S12_1108","Diecast Classics Inc.","3500"
10282,41,"100","7071.27","2004-08-20","Classic Cars","S12_1108","Mini Gifts Distributors Ltd.","4100"
10293,46,"100","8411.56","2004-09-09","Classic Cars","S12_1108","Amica Models & Co.","4600"
10306,31,"100","6570.76","2004-10-14","Classic Cars","S12_1108","Av Stores, Co.","3100"
10314,38,"100","7975.44","2004-10-22","Classic Cars","S12_1108","Heintze Collectables","3800"
10325,42,"64","2688","2004-11-05","Classic Cars","S12_1108","Baane Mini Imports","2688"
10336,33,"57.22","1888.26","2004-11-20","Classic Cars","S12_1108","La Corne D'Abondance, Co.","1888.26"
10348,48,"52.36","2513.28","2004-11-01","Classic Cars","S12_1108","Corrida Auto Replicas, Ltd","2513.2799999999997"
10359,42,"100","4764.48","2004-12-15","Classic Cars","S12_1108","Reims Collectables","4200"
10216,43,"100","5759.42","2004-02-02","Trucks And Buses","S12_1666","Auto Assoc. & Cie.","4300"
10229,25,"100","3451","2004-03-11","Trucks And Buses","S12_1666","Mini Gifts Distributors Ltd.","2500"
10245,38,"100","5920.4","2004-05-04","Trucks And Buses","S12_1666","Super Scale Inc.","3800"
10258,41,"100","6668.24","2004-06-15","Trucks And Buses","S12_1666","Tokyo Collectables, Ltd","4100"
10270,28,"100","4094.72","2004-07-19","Trucks And Buses","S12_1666","Souveniers And Things Co.","2800"
10281,25,"100","2938.5","2004-08-19","Trucks And Buses","S12_1666","Diecast Classics Inc.","2500"
10291,41,"100","6387.8","2004-09-08","Trucks And Buses","S12_1666","Scandinavian Gift Ideas","4100"
10304,39,"100","6396","2004-10-11","Trucks And Buses","S12_1666","Auto Assoc. & Cie.","3900"
10313,21,"100","2669.1","2004-10-22","Trucks And Buses","S12_1666","Canadian Gift Exchange Network","2100"
10322,27,"100","4784.13","2004-11-04","Trucks And Buses","S12_1666","Online Diecast Creations Co.","2700"
10333,33,"99.21","3273.93","2004-11-18","Trucks And Buses","S12_1666","Mini Wheels Co.","3273.93"
10347,29,"100","3586.43","2004-11-29","Trucks And Buses","S12_1666","Australian Collectors, Co.","2900"
10357,49,"100","5960.36","2004-12-10","Trucks And Buses","S12_1666","Mini Gifts Distributors Ltd.","4900"
10211,36,"100","4771.8","2004-01-15","Motorcycles","S12_2823","Auto Canal Petit","3600"
10224,43,"100","6087.94","2004-02-21","Motorcycles","S12_2823","Daedalus Designs Imports","4300"
10237,32,"100","4193.28","2004-04-05","Motorcycles","S12_2823","Vitachrome Inc.","3200"
10251,46,"100","7552.28","2004-05-18","Motorcycles","S12_2823","Tekni Collectables Inc.","4600"
10263,48,"100","6434.4","2004-06-28","Motorcycles","S12_2823","Gift Depot Inc.","4800"
10276,43,"100","5181.5","2004-08-02","Motorcycles","S12_2823","Online Mini Collectables","4300"
10285,49,"100","6863.92","2004-08-27","Motorcycles","S12_2823","Marta'S Replicas Co.","4900"
10299,24,"100","4157.04","2004-09-30","Motorcycles","S12_2823","Toys Of Finland, Co.","2400"
10309,26,"100","4660.24","2004-10-15","Motorcycles","S12_2823","Baane Mini Imports","2600"
10319,30,"100","4111.8","2004-11-03","Motorcycles","S12_2823","Microscale Inc.","3000"
10329,24,"100","3542.64","2004-11-15","Motorcycles","S12_2823","Land Of Toys Inc.","2400"
10341,55,"100","8118.55","2004-11-24","Motorcycles","S12_2823","Salzburg Collectables","5500"
10208,26,"100","3142.36","2004-01-02","Classic Cars","S12_3148","Saveley & Henriot, Co.","2600"
10220,30,"100","4713.6","2004-02-12","Classic Cars","S12_3148","Clover Collections, Co.","3000"
10230,43,"100","7016.31","2004-03-15","Classic Cars","S12_3148","Blauer See Auto, Co.","4300"
10247,25,"100","4381.25","2004-05-05","Classic Cars","S12_3148","Suominen Souveniers","2500"
10272,27,"100","4283.01","2004-07-20","Classic Cars","S12_3148","Diecast Classics Inc.","2700"
10282,27,"100","4364.82","2004-08-20","Classic Cars","S12_3148","Mini Gifts Distributors Ltd.","2700"
10293,24,"100","4242.24","2004-09-09","Classic Cars","S12_3148","Amica Models & Co.","2400"
10306,34,"100","4982.7","2004-10-14","Classic Cars","S12_3148","Av Stores, Co.","3400"
10314,46,"100","6393.54","2004-10-22","Classic Cars","S12_3148","Heintze Collectables","4600"
10324,27,"54.33","1466.91","2004-11-05","Classic Cars","S12_3148","Vitachrome Inc.","1466.9099999999999"
10336,33,"100","4059.33","2004-11-20","Classic Cars","S12_3148","La Corne D'Abondance, Co.","3300"
10348,47,"100","4801.52","2004-11-01","Classic Cars","S12_3148","Corrida Auto Replicas, Ltd","4700"
10358,49,"55.34","2711.66","2004-12-10","Classic Cars","S12_3148","Euro Shopping Channel","2711.6600000000003"
10212,39,"100","4946.76","2004-01-16","Classic Cars","S12_3380","Euro Shopping Channel","3900"
10225,25,"99.82","2495.5","2004-02-22","Classic Cars","S12_3380","Vida Sport, Ltd","2495.5"
10238,29,"100","3167.38","2004-04-09","Classic Cars","S12_3380","Danish Wholesale Imports","2900"
10253,22,"100","2402.84","2004-06-01","Classic Cars","S12_3380","Uk Collectables, Ltd.","2200"
10266,22,"100","2454.54","2004-07-06","Classic Cars","S12_3380","L'Ordine Souveniers","2200"
10276,47,"100","5464.69","2004-08-02","Classic Cars","S12_3380","Online Mini Collectables","4700"
10287,45,"100","4756.5","2004-08-30","Classic Cars","S12_3380","Vida Sport, Ltd","4500"
10310,24,"100","3100.32","2004-10-16","Classic Cars","S12_3380","Toms Spezialitten, Ltd","2400"
10320,35,"100","4850.3","2004-11-03","Classic Cars","S12_3380","Volvo Model Replicas, Co","3500"
10329,46,"83.63","3846.98","2004-11-15","Classic Cars","S12_3380","Land Of Toys Inc.","3846.9799999999996"
10341,44,"95.93","4220.92","2004-11-24","Classic Cars","S12_3380","Salzburg Collectables","4220.92"
10208,20,"100","3114.4","2004-01-02","Classic Cars","S12_3891","Saveley & Henriot, Co.","2000"
10220,27,"100","5045.22","2004-02-12","Classic Cars","S12_3891","Clover Collections, Co.","2700"
10231,49,"100","6952.12","2004-03-19","Classic Cars","S12_3891","Caf Imports","4900"
10247,27,"100","4157.73","2004-05-05","Classic Cars","S12_3891","Suominen Souveniers","2700"
10272,39,"100","7962.24","2004-07-20","Classic Cars","S12_3891","Diecast Classics Inc.","3900"
10282,24,"100","3778.8","2004-08-20","Classic Cars","S12_3891","Mini Gifts Distributors Ltd.","2400"
10293,45,"100","8253","2004-09-09","Classic Cars","S12_3891","Amica Models & Co.","4500"
10306,20,"100","3633.4","2004-10-14","Classic Cars","S12_3891","Av Stores, Co.","2000"
10314,36,"100","6913.8","2004-10-22","Classic Cars","S12_3891","Heintze Collectables","3600"
10325,24,"100","2583.6","2004-11-05","Classic Cars","S12_3891","Baane Mini Imports","2400"
10336,49,"63.38","3105.62","2004-11-20","Classic Cars","S12_3891","La Corne D'Abondance, Co.","3105.6200000000003"
10349,26,"100","4408.56","2004-12-01","Classic Cars","S12_3891","Muscle Machine Inc","2600"
10359,49,"62.09","3042.41","2004-12-15","Classic Cars","S12_3891","Reims Collectables","3042.4100000000003"
10211,28,"92.57","2591.96","2004-01-15","Classic Cars","S12_3990","Auto Canal Petit","2591.96"
10225,37,"77.41","2864.17","2004-02-22","Classic Cars","S12_3990","Vida Sport, Ltd","2864.17"
10238,20,"74.21","1484.2","2004-04-09","Classic Cars","S12_3990","Danish Wholesale Imports","1484.1999999999998"
10253,25,"90.17","2254.25","2004-06-01","Classic Cars","S12_3990","Uk Collectables, Ltd.","2254.25"
10266,35,"76.61","2681.35","2004-07-06","Classic Cars","S12_3990","L'Ordine Souveniers","2681.35"
10276,38,"83.79","3184.02","2004-08-02","Classic Cars","S12_3990","Online Mini Collectables","3184.0200000000004"
10287,41,"69.43","2846.63","2004-08-30","Classic Cars","S12_3990","Vida Sport, Ltd","2846.63"
10310,49,"81.4","3988.6","2004-10-16","Classic Cars","S12_3990","Toms Spezialitten, Ltd","3988.6000000000004"
10320,38,"73.42","2789.96","2004-11-03","Classic Cars","S12_3990","Volvo Model Replicas, Co","2789.96"
10329,33,"100","3607.56","2004-11-15","Classic Cars","S12_3990","Land Of Toys Inc.","3300"
10341,36,"93.56","3368.16","2004-11-24","Classic Cars","S12_3990","Salzburg Collectables","3368.16"
10219,48,"100","4891.68","2004-02-10","Trucks And Buses","S12_4473","Signal Collectibles Ltd.","4800"
10229,36,"100","4521.96","2004-03-11","Trucks And Buses","S12_4473","Mini Gifts Distributors Ltd.","3600"
10246,46,"100","5069.66","2004-05-05","Trucks And Buses","S12_4473","Euro Shopping Channel","4600"
10259,46,"100","6541.2","2004-06-15","Trucks And Buses","S12_4473","Handji Gifts& Co","4600"
10271,31,"97.17","3012.27","2004-07-20","Trucks And Buses","S12_4473","Mini Gifts Distributors Ltd.","3012.27"
10281,41,"100","5247.18","2004-08-19","Trucks And Buses","S12_4473","Diecast Classics Inc.","4100"
10292,21,"100","2214.87","2004-09-08","Trucks And Buses","S12_4473","Land Of Toys Inc.","2100"
10305,38,"100","4773.18","2004-10-13","Trucks And Buses","S12_4473","Marta'S Replicas Co.","3800"
10314,45,"100","6185.7","2004-10-22","Trucks And Buses","S12_4473","Heintze Collectables","4500"
10324,26,"58.38","1517.88","2004-11-05","Trucks And Buses","S12_4473","Vitachrome Inc.","1517.88"
10336,38,"100","6372.6","2004-11-20","Trucks And Buses","S12_4473","La Corne D'Abondance, Co.","3800"
10349,48,"100","5232.96","2004-12-01","Trucks And Buses","S12_4473","Muscle Machine Inc","4800"
10358,42,"64.16","2694.72","2004-12-10","Trucks And Buses","S12_4473","Euro Shopping Channel","2694.72"
10212,33,"100","4180.44","2004-01-16","Classic Cars","S12_4675","Euro Shopping Channel","3300"
10225,21,"100","2684.43","2004-02-22","Classic Cars","S12_4675","Vida Sport, Ltd","2100"
10239,21,"93.28","1958.88","2004-04-12","Classic Cars","S12_4675","Oulu Toy Supplies, Inc.","1958.88"
10253,41,"100","4910.57","2004-06-01","Classic Cars","S12_4675","Uk Collectables, Ltd.","4100"
10266,40,"100","4468.4","2004-07-06","Classic Cars","S12_4675","L'Ordine Souveniers","4000"
10277,28,"100","3127.88","2004-08-04","Classic Cars","S12_4675","Dragon Souveniers, Ltd.","2800"
10287,23,"100","2675.13","2004-08-30","Classic Cars","S12_4675","Vida Sport, Ltd","2300"
10310,25,"100","2504.75","2004-10-16","Classic Cars","S12_4675","Toms Spezialitten, Ltd","2500"
10321,24,"100","2984.88","2004-11-04","Classic Cars","S12_4675","Fungiftideas.Com","2400"
10329,39,"64.74","2524.86","2004-11-15","Classic Cars","S12_4675","Land Of Toys Inc.","2524.8599999999997"
10341,55,"75.2","4136","2004-11-24","Classic Cars","S12_4675","Salzburg Collectables","4136"
10215,46,"100","5152","2004-01-29","Trucks And Buses","S18_1097","West Coast Collectables Co.","4600"
10228,32,"100","3360","2004-03-10","Trucks And Buses","S18_1097","Cambridge Collectables Co.","3200"
10245,29,"100","3451","2004-05-04","Trucks And Buses","S18_1097","Super Scale Inc.","2900"
10258,41,"100","5453","2004-06-15","Trucks And Buses","S18_1097","Tokyo Collectables, Ltd","4100"
10270,43,"96.84","4164.12","2004-07-19","Trucks And Buses","S18_1097","Souveniers And Things Co.","4164.12"
10280,24,"100","2800.08","2004-08-17","Trucks And Buses","S18_1097","Amica Models & Co.","2400"
10291,41,"100","4687.94","2004-09-08","Trucks And Buses","S18_1097","Scandinavian Gift Ideas","4100"
10304,46,"98","4508","2004-10-11","Trucks And Buses","S18_1097","Auto Assoc. & Cie.","4508"
10312,32,"100","4181.44","2004-10-21","Trucks And Buses","S18_1097","Mini Gifts Distributors Ltd.","3200"
10322,22,"100","2251.04","2004-11-04","Trucks And Buses","S18_1097","Online Diecast Creations Co.","2200"
10333,29,"40.25","1167.25","2004-11-18","Trucks And Buses","S18_1097","Mini Wheels Co.","1167.25"
10347,42,"49.6","2083.2","2004-11-29","Trucks And Buses","S18_1097","Australian Collectors, Co.","2083.2000000000003"
10357,39,"98","3822","2004-12-10","Trucks And Buses","S18_1097","Mini Gifts Distributors Ltd.","3822"
10212,29,"100","4186.73","2004-01-16","Classic Cars","S18_1129","Euro Shopping Channel","2900"
10225,32,"100","4529.28","2004-02-22","Classic Cars","S18_1129","Vida Sport, Ltd","3200"
10240,41,"100","5628.89","2004-04-13","Classic Cars","S18_1129","Osaka Souveniers Co.","4100"
10253,26,"100","3054.48","2004-06-01","Classic Cars","S18_1129","Uk Collectables, Ltd.","2600"
10266,21,"100","2526.51","2004-07-06","Classic Cars","S18_1129","L'Ordine Souveniers","2100"
10278,34,"100","4667.86","2004-08-06","Classic Cars","S18_1129","Signal Gift Stores","3400"
10287,41,"100","6499.32","2004-08-30","Classic Cars","S18_1129","Vida Sport, Ltd","4100"
10310,37,"100","6231.91","2004-10-16","Classic Cars","S18_1129","Toms Spezialitten, Ltd","3700"
10321,41,"100","5803.14","2004-11-04","Classic Cars","S18_1129","Fungiftideas.Com","4100"
10331,46,"100","6434.02","2004-11-17","Classic Cars","S18_1129","Motor Mint Distributors Inc.","4600"
10342,40,"100","6454.4","2004-11-24","Classic Cars","S18_1129","Australian Collectors, Co.","4000"
10356,43,"97.6","4196.8","2004-12-09","Classic Cars","S18_1129","Lyon Souveniers","4196.8"
10215,27,"89.38","2413.26","2004-01-29","Vintage Cars","S18_1342","West Coast Collectables Co.","2413.2599999999998"
10227,25,"100","2953.75","2004-03-02","Vintage Cars","S18_1342","Saveley & Henriot, Co.","2500"
10244,40,"100","4684.8","2004-04-29","Vintage Cars","S18_1342","Euro Shopping Channel","4000"
10256,34,"95.55","3248.7","2004-06-08","Vintage Cars","S18_1342","Danish Wholesale Imports","3248.7"
10280,50,"100","5239.5","2004-08-17","Vintage Cars","S18_1342","Amica Models & Co.","5000"
10289,38,"100","4567.98","2004-09-03","Vintage Cars","S18_1342","Herkku Gifts","3800"
10304,37,"95.55","3535.35","2004-10-11","Vintage Cars","S18_1342","Auto Assoc. & Cie.","3535.35"
10312,43,"89.38","3843.34","2004-10-21","Vintage Cars","S18_1342","Mini Gifts Distributors Ltd.","3843.3399999999997"
10322,43,"86.3","3710.9","2004-11-04","Vintage Cars","S18_1342","Online Diecast Creations Co.","3710.9"
10332,46,"95.13","4375.98","2004-11-17","Vintage Cars","S18_1342","Av Stores, Co.","4375.98"
10346,42,"36.11","1516.62","2004-11-29","Vintage Cars","S18_1342","Signal Gift Stores","1516.62"
10356,50,"50.18","2509","2004-12-09","Vintage Cars","S18_1342","Lyon Souveniers","2509"
10215,33,"43.13","1423.29","2004-01-29","Vintage Cars","S18_1367","West Coast Collectables Co.","1423.2900000000002"
10227,31,"48.52","1504.12","2004-03-02","Vintage Cars","S18_1367","Saveley & Henriot, Co.","1504.1200000000001"
10244,20,"58.22","1164.4","2004-04-29","Vintage Cars","S18_1367","Euro Shopping Channel","1164.4"
10256,29,"51.75","1500.75","2004-06-08","Vintage Cars","S18_1367","Danish Wholesale Imports","1500.75"
10280,27,"57.68","1557.36","2004-08-17","Vintage Cars","S18_1367","Amica Models & Co.","1557.36"
10289,24,"56.07","1345.68","2004-09-03","Vintage Cars","S18_1367","Herkku Gifts","1345.68"
10304,37,"48.52","1795.24","2004-10-11","Vintage Cars","S18_1367","Auto Assoc. & Cie.","1795.24"
10312,25,"44.21","1105.25","2004-10-21","Vintage Cars","S18_1367","Mini Gifts Distributors Ltd.","1105.25"
10322,41,"57.68","2364.88","2004-11-04","Vintage Cars","S18_1367","Online Diecast Creations Co.","2364.88"
10332,27,"89.89","2427.03","2004-11-17","Vintage Cars","S18_1367","Av Stores, Co.","2427.03"
10347,21,"58.95","1237.95","2004-11-29","Vintage Cars","S18_1367","Australian Collectors, Co.","1237.95"
10356,22,"72.41","1593.02","2004-12-09","Vintage Cars","S18_1367","Lyon Souveniers","1593.02"
10212,38,"100","4492.36","2004-01-16","Classic Cars","S18_1589","Euro Shopping Channel","3800"
10226,38,"100","4161.38","2004-02-26","Classic Cars","S18_1589","Collectable Mini Designs Co.","3800"
10241,21,"100","2508.66","2004-04-13","Classic Cars","S18_1589","Mini Caravy","2100"
10253,24,"100","3374.88","2004-06-01","Classic Cars","S18_1589","Uk Collectables, Ltd.","2400"
10266,36,"100","5196.6","2004-07-06","Classic Cars","S18_1589","L'Ordine Souveniers","3600"
10278,23,"100","2604.52","2004-08-06","Classic Cars","S18_1589","Signal Gift Stores","2300"
10288,20,"100","2936.8","2004-09-01","Classic Cars","S18_1589","Handji Gifts& Co","2000"
10311,29,"100","2923.2","2004-10-16","Classic Cars","S18_1589","Euro Shopping Channel","2900"
10321,44,"100","4489.76","2004-11-04","Classic Cars","S18_1589","Fungiftideas.Com","4400"
10331,44,"100","4849.24","2004-11-17","Classic Cars","S18_1589","Motor Mint Distributors Inc.","4400"
10343,36,"100","5848.92","2004-11-24","Classic Cars","S18_1589","Reims Collectables","3600"
10210,31,"100","5719.5","2004-01-12","Planes","S18_1662","Osaka Souveniers Co.","3100"
10222,49,"100","6954.08","2004-02-19","Planes","S18_1662","Collectable Mini Designs Co.","4900"
10250,45,"100","8160.3","2004-05-11","Planes","S18_1662","The Sharp Gifts Warehouse","4500"
10262,49,"100","6567.96","2004-06-24","Planes","S18_1662","Euro Shopping Channel","4900"
10274,41,"100","6724","2004-07-21","Planes","S18_1662","Collectables For Less Inc.","4100"
10284,45,"100","5747.85","2004-08-21","Planes","S18_1662","Norway Gifts By Mail, Co.","4500"
10296,36,"100","5676.84","2004-09-15","Planes","S18_1662","Bavarian Collectables Imports, Co.","3600"
10307,39,"100","7379.97","2004-10-14","Planes","S18_1662","Classic Gift Ideas, Inc","3900"
10316,27,"100","3704.13","2004-11-01","Planes","S18_1662","Giftsbymail.Co.Uk","2700"
10327,25,"100","2804.75","2004-11-10","Planes","S18_1662","Danish Wholesale Imports","2500"
10338,41,"100","5624.79","2004-11-22","Planes","S18_1662","Royale Belge","4100"
10351,39,"99.52","3881.28","2004-12-03","Planes","S18_1662","Stylish Desk Decors, Co.","3881.2799999999997"
10214,30,"100","5967","2004-01-26","Vintage Cars","S18_1749","Corrida Auto Replicas, Ltd","3000"
10227,26,"100","3712.8","2004-03-02","Vintage Cars","S18_1749","Saveley & Henriot, Co.","2600"
10241,41,"100","7597.3","2004-04-13","Vintage Cars","S18_1749","Mini Caravy","4100"
10280,26,"100","3668.6","2004-08-17","Vintage Cars","S18_1749","Amica Models & Co.","2600"
10288,32,"100","5875.2","2004-09-01","Vintage Cars","S18_1749","Handji Gifts& Co","3200"
